"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"a1cf",11348.526735225,-0.228304812795603,0.149070718326963,-1.53152017618143,0.125640883836005,0.441366256670109
"aaas",51.5233121064473,-0.05266115199752,0.294124864173925,-0.179043523387332,0.857903527093243,0.957280692795217
"aacs",2131.34719107355,-2.66580110787658,0.670166247136382,-3.97782060685322,6.9549811198069e-05,0.00380358014246218
"aadac",1.19389960344046,-2.15258615858972,1.35476980675225,-1.58889439952168,0.112084235811082,NA
"aadat",97.1008208938662,0.699314319314307,0.361771780613533,1.9330261695048,0.0532329740887074,0.288926313669853
"aagab",77.7761045860702,-0.583454810492566,0.277055207428835,-2.10591533690062,0.0352117071966233,0.231064986264334
"aamdc",2.62439514084553,0.72589374982057,1.05609885281096,0.687335042442758,0.49187162118266,NA
"aamp",79.7584918273636,0.0831007265762106,0.246364353572652,0.337308240299887,0.735884548474034,0.916927035142327
"aanat1",1.96851708106717,1.31834149908494,1.27037401702391,1.03775855096077,0.299382478293557,NA
"aar2",40.2434269027587,-0.249151592978847,0.311787943681187,-0.79910592448569,0.424228994646799,0.75867430965932
"aars2",193.767305052753,-0.371275794960837,0.237495127857507,-1.56329857504949,0.11798238332151,0.42691195434792
"aarsd1",21.4316663122771,0.522261551962592,0.485679252719897,1.07532193116718,0.282230620642285,0.649094916844153
"aasdh",10.7494868703924,0.691184705891774,0.602440747175943,1.14730736447001,0.251254611394282,0.615729124392573
"aasdhppt",150.306548537084,-0.454035530360204,0.374115046601196,-1.21362541946676,0.224890795701392,0.583746286681866
"aass",188.65098335091,0.465201459016076,0.272221332810824,1.70890890222539,0.0874678252577242,0.367355933958341
"aatf",35.8880237475133,0.580204513594497,0.463877705621912,1.25077042195125,0.211018249102723,0.565660944433582
"aatka",99.3718447328655,-0.105994203328691,0.285267783094127,-0.371560371027656,0.7102201992121,0.905572749754165
"aatkb",255.058156265754,-0.401796044323912,0.314589755160647,-1.27720638619885,0.201529392963194,0.553290136681159
"abat",4491.22766599112,0.572746397749526,0.251633709070752,2.27611157449691,0.0228393324982158,0.179260428877933
"abca12",16.778319787346,-0.356656935460863,0.687142686058573,-0.519043486450587,0.603730416438282,0.858222039918601
"abca1b",113.770081320027,0.0154957480265994,0.320725030679145,0.0483147448572588,0.961465403580489,0.989201125610526
"abca3b",134.281496270811,0.184235361923812,0.301952500756222,0.610146832572691,0.541764545714984,0.825693417850097
"abca5",214.556328581247,0.101791913232013,0.172032074059219,0.59170310995014,0.554049413660659,0.832506609094857
"abca7",6.75666298716268,0.702933684547212,0.549773775974992,1.27858714850595,0.201042477926259,0.552976058245257
"abcb10",22.8536225608493,-0.0134866624617024,0.522578589625416,-0.0258079123971949,0.979410550771847,0.993971805721632
"abcb11a",16.8028419201747,-1.10883309859938,0.655956934510797,-1.69040533038396,0.0909504359868817,0.374056405605048
